set_id,description,price,img_url_1,img_url_2,color,category
1,Gold Kundan Floral Drop Dangler Earrings,600.00,https://img.faballey.com/Images/Product/ZEA00480/1.jpg,https://img.faballey.com/images/Product/ZEA00480/2.jpg,Gold,earrings
2,Gold Green Kundan Bead Dangler Earrings,975.00,https://img.faballey.com/Images/Product/ZEA00468/1.jpg,https://img.faballey.com/images/Product/ZEA00468/2.jpg,Green,earrings
3,Antique Silver Tribal Hoop Earrings,650.00,https://img.faballey.com/Images/Product/ZEA00295/1.jpg,https://img.faballey.com/images/Product/ZEA00295/2.jpg,silver,earrings
4,Gold Pearl Cluster Drop Dangler Earrings,250.00,https://img.faballey.com/Images/Product/ZEA00437/1.jpg,https://img.faballey.com/images/Product/ZEA00437/2.jpg,White,earrings
5,Gold Kundan Green Bead Layered Dangler Earrings,750.00,https://img.faballey.com/Images/Product/ZEA00307/1.jpg,https://img.faballey.com/images/Product/ZEA00307/2.jpg,Multi,earrings
6,Gold Silver Hoop Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00337/1.jpg,https://img.faballey.com/images/Product/ZEA00337/2.jpg,Multi,earrings
7,Rose Gold Sleek Hoop Earrings,625.00,https://img.faballey.com/Images/Product/ZEA00285/1.jpg,https://img.faballey.com/images/Product/ZEA00285/2.jpg,gold,earrings
8,Gold Green Kundan Meena Dangler Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00352/1.jpg,https://img.faballey.com/images/Product/ZEA00352/2.jpg,Green,earrings
9,Gold Pearl Drop Stud Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00440/1.jpg,https://img.faballey.com/images/Product/ZEA00440/2.jpg,White,earrings
10,Gold Kundan Floral Stud Pearl Drop Dangler Earrings,625.00,https://img.faballey.com/Images/Product/ZEA00482/1.jpg,https://img.faballey.com/images/Product/ZEA00482/2.jpg,Gold,earrings
11,Gold Red Enamel Pearl Stud Earrings,350.00,https://img.faballey.com/Images/Product/ZEA00451/1.jpg,https://img.faballey.com/images/Product/ZEA00451/2.jpg,Red,earrings
12,Gold Black Drop Tiered Dangler Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00436/1.jpg,https://img.faballey.com/images/Product/ZEA00436/2.jpg,black,earrings
13,Gold Kundan Green Beads Chandbali Earrings,725.00,https://img.faballey.com/Images/Product/ZEA00469/1.jpg,https://img.faballey.com/images/Product/ZEA00469/2.jpg,Green,earrings
14,Gold Kundan Pearl Dangler Jhumki Earrings,600.00,https://img.faballey.com/Images/Product/ZEA00448/1.jpg,https://img.faballey.com/images/Product/ZEA00448/2.jpg,Blue ,earrings
15,Gold Kundan Green Drop Jhumka Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00300/1.jpg,https://img.faballey.com/images/Product/ZEA00300/2.jpg,Green,earrings
16,Gold Chain Half Circle Dangler Earrings,325.00,https://img.faballey.com/Images/Product/ZEA00394/1.jpg,https://img.faballey.com/images/Product/ZEA00394/2.jpg,Gold,earrings
17,Silver Textured Disc Dangler Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00259/1.jpg,https://img.faballey.com/images/Product/ZEA00259/2.jpg,silver,earrings
